kernel,cf_Fermi,runtime_Fermi,cf_Kepler,runtime_Kepler,cf_Cypress,runtime_Cypress,cf_Tahiti,runtime_Tahiti
binarySearch,1.0,213216.0,16.0,165248.0,2.0,290889.0,4.0,178518.0
blackscholes,8.0,1148128.0,4.0,1179008.0,1.0,1783889.0,2.0,962963.0
convolution,4.0,376256.0,8.0,543104.0,2.0,515445.0,1.0,105186.0
dwtHaar1D,8.0,348064.0,4.0,302304.0,4.0,656222.0,4.0,128000.0
fastWalsh,2.0,866464.0,1.0,891872.0,2.0,1432000.0,1.0,640740.0
floydWarshall,8.0,114432.0,8.0,122464.0,4.0,167112.0,4.0,95555.0
mriQ,2.0,25358464.0,1.0,12119168.0,4.0,34089889.0,1.0,9872592.0
mt,4.0,83296.0,2.0,84320.0,4.0,198111.0,16.0,85185.0
mtLocal,8.0,75264.0,4.0,77440.0,32.0,171445.0,8.0,75555.0
mvCoal,1.0,1037696.0,1.0,795776.0,1.0,2051111.0,1.0,672741.0
mvUncoal,1.0,4296992.0,1.0,4228832.0,8.0,26158445.0,2.0,21755259.0
nbody,2.0,53400608.0,2.0,21404416.0,8.0,35734111.0,2.0,21135110.0
reduce,4.0,2650176.0,1.0,2663552.0,2.0,3153445.0,1.0,1116593.0
sgemm,32.0,4899872.0,16.0,10060896.0,8.0,21034111.0,16.0,2459556.0
sobel,1.0,887552.0,2.0,390112.0,4.0,390889.0,2.0,148888.0
spmv,1.0,36224.0,1.0,52896.0,1.0,82000.0,1.0,64592.0
stencil,2.0,4295104.0,1.0,4330912.0,1.0,10420555.0,1.0,5200148.0
